"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access","Citations count","Abstract","TL;DR"
"Seizing AI: Dynamic Seizing Capabilities in Emerging Technology Markets. The Case of Artificial Intelligence Adoption by German Influencer Marketing Agencies","https://scispace.com/papers/seizing-ai-dynamic-seizing-capabilities-in-emerging-6k8p9rbv0bjc","2025","Journal Article","Emerging media","Christian Zabel
Amelie Duckwitz","10.1177/27523543251366107","","No","","In the rapidly evolving influencer marketing landscape, German influencer marketing agencies face significant challenges and opportunities with the integration of artificial intelligence (AI). This exploratory study delves into how these agencies adapt to AI-driven technologies, employing the dynamic capabilities framework, particularly the concept of seizing capabilities. Drawing from 18 in-depth interviews with agency leaders and marketing experts conducted in 2024, the study seeks to understand how AI transforms industry practices. The findings reveal that agencies leverage AI to optimize processes and enhance efficiency. However, dynamic seizing capabilities are characterized by a predominantly decentralized and agile approach to knowledge absorption, decision-making, and implementation. Agencies frequently employ a trial-and-error methodology, driven by both top-down and bottom-up processes, reflecting the dynamic nature of this emerging media technology market. Despite the innovative potential of AI, current agency practices are focused more on operational improvements than business model transformation, where they intensively draw on their flexible, agile organizational culture. Strategic partnerships, crucial for deeper AI integration, remain underutilized, including co-creative approaches with clients. Moreover, data protection and security concerns prominently influence AI adoption strategies, necessitating structured guidelines and regulations. Agencies recognize the potential for AI to reshape their value propositions, with the aim of transitioning back towards more creativity-focused and consultative. However, tangible shifts in business models have yet to be realized. This study underscores the importance of existing business models and a firm's position in the value chain for dynamic seizing capability formation.","German influencer marketing agencies adapt to AI-driven technologies by leveraging dynamic seizing capabilities, characterized by decentralized, agile approaches to knowledge absorption, decision-making, and implementation, prioritizing operational improvements over business model transformation."
"Artificial Intelligence Transformations in Digital Advertising: Historical Progression, Emerging Trends, and Strategic Outlook","https://scispace.com/papers/artificial-intelligence-transformations-in-digital-4duvmswoooqj","2024","Journal Article","","Adam Martin","10.20944/preprints202411.0569.v2","","No","","The introduction of Artificial Intelligence (AI) has fundamentally transformed digital advertising, advancing precision, efficiency, and scalability far beyond the capabilities of traditional advertising methods. This paper presents a detailed analysis of AI&amp;rsquo;s integration into the advertising sector, focusing on critical technologies, including multi-touch attribution (MTA), reinforcement learning (RL), recommendation systems (RS), and large language models (LLMs). We examine the evolution of AI in digital marketing, explore current trends, and assess emerging technologies such as federated learning and transfer learning, emphasizing their role in real-time ad personalization, campaign optimization, and enhanced user engagement. Through an exploration of AI-driven strategies used by major corporations such as Google, IBM, and Coca-Cola, this paper underscores AI&amp;rsquo;s transformative impact on advertising and anticipates future trends that may further revolutionize the field. Additionally, we address key challenges of deploying AI at scale, including issues of interpretability, ethical considerations, and data privacy, offering potential solutions.","This paper examines AI's transformative impact on digital advertising, analyzing its historical progression, emerging trends, and strategic outlook, including AI-driven strategies, challenges, and future trends in real-time ad personalization, campaign optimization, and user engagement."
"Beyond Automation: AI as a Collaborative Partner in the Future of Marketing","https://scispace.com/papers/beyond-automation-ai-as-a-collaborative-partner-in-the-o94eaodzp3tq","2024","Journal Article","","Aryan Rahbar","10.20944/preprints202411.2122.v1","","No","","This article examines artificial intelligence's (AI) evolution in marketing, tracing its journey from early data-driven approaches to its current transformative role. Beginning with the rise of data analysis and CRM systems, the article highlights how AI has progressively reshaped marketing practices, leading to hyper-personalization, marketing automation, and the emergence of autonomous marketing platforms. While acknowledging the significant benefits of AI in enhancing efficiency, personalisation, and data-driven decision-making, the article also critically analyses the potential challenges, including privacy concerns, job displacement, algorithmic bias, and the need for transparency in AI-driven decisions. Through case studies of AI marketing tools like Persado and Albert.ai, the article illustrates these technologies' capabilities and limitations. Ultimately, the article argues that the future of AI in marketing hinges on a collaborative approach, where marketers leverage AI's strengths while preserving the essential human elements of creativity, empathy, and ethical judgment.","This article explores AI's transformative role in marketing, highlighting its evolution from data-driven approaches to hyper-personalization and automation, while critically analyzing challenges and advocating for a collaborative approach between humans and AI."
"Unveiling the Impact: AI-Driven Marketing tactics on Implementation Strategy – Systematic Literature Review (SLR) Approach","https://scispace.com/papers/unveiling-the-impact-ai-driven-marketing-tactics-on-80qe84rl1i","2024","Journal Article","Journal of marketing research & case studies","Mbwidifu Patience GANA","10.5171/2024.374179","","No","","This study delves into the transformative impact of artificial intelligence (AI) on marketing strategy implementation, aiming to bridge existing gaps in scholarly discourse. The research identifies a critical void in understanding the multifaceted influence of AI across diverse industries, hindering both current comprehension and future exploration of its potential in marketing strategy implementation. Employing a systematic literature review (SLR) methodology, this paper connects insights from ten rigorously selected research papers spanning 2015 to 2024, sourced from the Google Scholar Database. The findings highlight AI’s pivotal role in streamlining implementation processes through scenario analysis facilitation, predictive accuracy enhancement, and resolution of intricate challenges. Additionally, this study illuminates essential success factors – ranging from stakeholder engagement and continuous evaluation to workforce capacity building, ethical considerations, and data privacy safeguards – crucial for realizing effective outcomes in AI-driven marketing strategy implementation.","This study delves into the transformative impact of artificial intelligence on marketing strategy implementation, aiming to bridge existing gaps in scholarly discourse and highlights AI’s pivotal role in streamlining implementation processes through scenario analysis facilitation, predictive accuracy enhancement, and resolution of intricate challenges."
"Generative artificial intelligence in marketing: Applications, opportunities, challenges, and research agenda","https://scispace.com/papers/generative-artificial-intelligence-in-marketing-applications-2fbmbjqtuk","2023","Journal Article","International Journal of Information Management","Nir Kshetri
Yogesh K. Dwivedi
Thomas H. Davenport
Niki Panteli","10.1016/j.ijinfomgt.2023.102716","","No","","While all functional areas in organizations are benefiting from the recent development in generative artificial intelligence (GAI), marketing has been particularly affected positively by this breakthrough innovation. However, scholars have not paid attention to the transformative impacts GAI has on marketing activities. This editorial article aims to fill this void. It outlines the current state of generative artificial intelligence in marketing. The article discusses the facilitators and barriers for the use of generative artificial intelligence in marketing. It highlights the effectiveness of insights generated by GAI in personalizing content and offerings and argues that marketing content generated by GAI is likely to be more personally relevant than that produced by earlier generations of digital technologies. The article explains how higher efficiency and productivity of marketing activities can be achieved by using GAI to create marketing content. It also describes the roles of insights and marketing content generated by GAI to improve the sales lead generation process. Implications for research, practice and policy are also discussed.","This editorial explores the transformative impact of generative artificial intelligence on marketing, discussing applications, opportunities, and challenges, and outlining a research agenda to investigate its effects on marketing activities and content creation."
"AI-Enabled Digital Marketing in Startups: A Systematic Review of Global Practices and Egyptian Implementation Challenges","https://scispace.com/papers/ai-enabled-digital-marketing-in-startups-a-systematic-review-xsi2lwls3rxy","2025","Journal Article","Journal of Business, Communication & Technology","Wael Eldesouki Bedda
Heba Al-Ashry
Hamed A. Ead","10.56632/bct.2025.4105","","No","","This study systematically reviews global practices in AI-enabled digital marketing for startups and examines the implementation challenges faced by Egyptian entrepreneurs. By systematically reviewing 21 studies (2017–2023) from Scopus, Web of Science, and Science Direct, the research highlights how AI enhances engagement with customers, improves campaign results, and boosts prediction abilities. Key findings reveal that AI tools, such as chatbots and predictive analytics, improve personalization, with some studies reporting an increase in conversion rates in emerging markets. However, Egyptian startups face significant barriers, including limited AI adoption, infrastructural gaps, and skill shortages. The study also examines Egypt’s entrepreneurial ecosystem, noting government-backed incubators like INTILAC and a youth-driven, tech-savvy population as potential enablers for AI integration. Challenges such as ethical concerns, algorithmic bias, and cultural readiness still persist. The paper concludes with recommendations for policymakers and entrepreneurs to bridge these gaps, emphasizing the need for AI literacy, targeted incentives, and ethical frameworks to foster sustainable growth in Egypt’s digital economy.","This systematic review examines global AI-enabled digital marketing practices for startups and identifies implementation challenges in Egypt, highlighting barriers such as limited AI adoption, infrastructural gaps, and skill shortages, with recommendations for policymakers and entrepreneurs."
"Strategic optimization of artificial intelligence for marketing communications in the creative industry","https://scispace.com/papers/strategic-optimization-of-artificial-intelligence-for-e1cq0orsrd1r","2025","Journal Article","Jurnal Aspikom","Faustyna Faustyna","10.24329/aspikom.v10i1.1589","","No","","Artificial intelligence (AI) has become an agent of change in marketing communication and in the creative industries. This study explores the growing role of AI in content personalization, marketing automation, and consumer data analysis. Beyond its various advantages, the application of AI can also be problematic, for instance, about data privacy and ethical concerns, as well as human-centered innovation, that influences creative thinking and practices across a range of domains. The objective of this paper is to explore how AI has influenced marketing communication strategies; to call attention to the most likely difficulties to be faced with its implementation in creative industries. From a qualitative approach, data were gathered from interviews with marketing professionals of innovative companies and by analyzing relevant documents. The findings demonstrate the potential for marketing AI based on automation, content customization, and real-time data analysis. However, the topics of data privacy, marrying technology with human creativity, and the necessity for a specific kind of training are still big hurdles. The findings indicate that firms need to integrate AI and creativity for constructing an efficient marketing strategy.","This study explores AI's impact on marketing communication strategies, highlighting its potential for automation, content customization, and data analysis, while also addressing concerns over data privacy, human creativity, and training requirements in creative industries."
"Leveraging Big Data and AI for Optimizing Digital Marketing Strategies: A Data-driven Approach","https://scispace.com/papers/leveraging-big-data-and-ai-for-optimizing-digital-marketing-zie42kuomzj0","2024","Journal Article","International Journal For Multidisciplinary Research","Alfian Yusuf","10.36948/ijfmr.2024.v06i06.30250","","No","","In this paper, the author discusses how big data and AI can improve the rate of conversion, engagement, and ROI in digital marketing through ’big data’ techniques in improving the effectiveness of the marketing mix. In this study, by counting and comparing campaigns from different industries, the researcher establishes that three strategies facilitated by AI have a positive impact on marketing- predictive analytics, real time personalization and segmentation. Findings further show that some industries such as e-commerce and the financial industry benefit most from these technologies, yet in other areas like the healthcare industry, regulatory issues prevent substantial results. The insights reveal how embedding of AI in the digital marketing strategy give companies a competitive advantage while the aspects of ethics such as data protection cannot be overlooked. Finally, the research study calls attention to the role of AI and big data in developing better, engaging, and relevant digital marketing solutions.","This study explores the application of big data and AI in digital marketing, revealing that AI-facilitated strategies like predictive analytics, real-time personalization, and segmentation improve conversion rates, engagement, and ROI, particularly in e-commerce and finance, but with regulatory challenges in healthcare."
"Optimizing AI-Integrated Creative Process in Advertising Industry through KBPMS Approach","https://scispace.com/papers/optimizing-ai-integrated-creative-process-in-advertising-2fft98cge2","2024","Journal Article","International Journal of Current Science Research and Review","Sekar Putri
M.Eng Prof. Ir. Dermawan Wibisono","10.47191/ijcsrr/v7-i7-06","","No","","Background – The demand for content across various rising digital media platforms pushes the advertising secotr to adopt Artificial Intelligence (AI) automation to improve creativity, speed, and efficiency, especially in areas like art direction, copywriting, and graphic design. While AI offers solutions to improve efficiency and support creative processes, advertising agency stakeholders start to see the urgency in assessing how AI can work alongside human creativity to produce essential quality content for the client’s value creation as the industry moves forward for a sustainable business growth. Methodology – This research uses mixed-method; Quantitative method to measure AI integration within advertising agencies and assess audience reactions to AI-generated ads, establishing a link between AI usage and audience behavior; Qualitative method through In-Depth Interviews to identify the underlying insights from the advertising professionals’ perspective in integrating AI on daily basis. The findings are processed for the development of a Performance Management System (PMS) using AHP scored by industry experts as the basis to prioritize the Key Performance Indicators (KPIs) Practical implications – This PMS framework is designed for macro-level advertising agencies to monitor and optimize the use of AI tools effectively through weighted KPIs and strategic AI investments. Originality/value – This study contributes to the existing industry study by introducing a performance measurement and addresses a theoretical gap between AI-driven creative process and its impact to the industry’s value creation.","This research addresses a theoretical gap between AI-driven creative process and its impact to the industry’s value creation by introducing a performance measurement and addressing a theoretical gap between AI-driven creative process and its impact to the industry’s value creation."
"AI-Integrated Cloud Levels the Playing Field for Independent Advertising Agencies","https://scispace.com/papers/ai-integrated-cloud-levels-the-playing-field-for-independent-3txzt8m5jyfo","2024","Journal Article","","Praveen Gujar
Gunjan Paliwal
Sriram Panyam","10.1109/temsconlatam61834.2024.10717680","","No","","Independent advertising agencies have a mammoth task of competing with their more prominent Holding Agencies due to resource scarcity and the inability to access the latest technological applications. The paper discusses how cloud computing and AI together can change the nature of competitiveness among independent advertising agencies. By infusing AI into cloud services, independent agencies will see more operational efficiency, have better analytics abilities, and receive more significant campaign effects. The SWOT analysis conducted in this study seeks to systematically evaluate the benefits and potential obstacles involved in adopting technology for smaller agencies. Our findings show that AI and cloud services enable more effective data management and customer engagement with these agencies by delivering personalized content that speaks to specific audience segments. Adopting these thus promises to level the playing field in digital advertising, offering independent agencies a more robust competitive stance.","Cloud computing and AI integration enables independent advertising agencies to compete with larger holding agencies by improving operational efficiency, analytics, and campaign effectiveness, thereby leveling the playing field in digital advertising through personalized content and data management."
"Navigating a paradigm shift: Technology and user acceptance of big data and artificial intelligence among advertising and marketing practitioners","https://scispace.com/papers/navigating-a-paradigm-shift-technology-and-user-acceptance-2mgrqozzp3","2024","Journal Article","Journal of Business Research","Pooja Iyer
Laura F. Bright","10.1016/j.jbusres.2024.114699","","No","","The advertising and marketing industry is witnessing a paradigm shift with the inclusion of big data and artificial intelligence, expecting practitioners to adapt to this rapidly transforming environment. Utilizing the Unified Theory of Acceptance and Use of Technology (UTAUT) model, a mixed methods approach examines how performance and effort expectancy mediate the psychological factors of anxiety and self-efficacy on behavioral intention to accept and engage with big data and AI systems amongst practitioners. To examine the psychological factors of UTAUT in relation to behavior, this research surveyed 100 mid-level advertising and marketing practitioners and found performance expectancy fully mediated anxiety, and effort expectancy partially mediated self-efficacy on behavioral intention. Qualitative insights identified psychological, social, and organizational factors, including fear of losing jobs, collaboration, motivation, training, social influence, and facilitating factors are critical to technology acceptance. Theoretical and managerial implications are discussed as they relate to this ongoing paradigm shift.","This study examines the acceptance of big data and AI among advertising and marketing practitioners, finding performance expectancy mediates anxiety and effort expectancy partially mediates self-efficacy on behavioral intention, with psychological, social, and organizational factors influencing technology adoption."
"Generative AI Impact on Marketing Agency","https://scispace.com/papers/generative-ai-impact-on-marketing-agency-2lynlo1bhj","2024","Journal Article","Advances in Economics, Management and Political Sciences","Xiangping Hu","10.54254/2754-1169/92/20231109","","No","","Background: By the end of 2022, a disruptive generative AI product, ChatGPT, was launched and impressed in both the B2C and B2B business field. Among the industries impacted, sales and marketing were identified as one of the most affected by McKinsey. This article focuses on marketing agencies and individual marketers, whose core business revolves around marketing campaigns. Problem Definition: In this paper, the fundamental capabilities of generative AI and its current applications in the marketing industry have been assessed. Furthermore, by considering both macro and micro-level factors and incorporating the influence of consumer perceptions on generative AI development, conclusions have been drawn regarding the impact of generative AI on marketing agencies. Methodology/results: First, this paper summarizes amount of literature and establishes that while the concept of AI has a long history, it is still in its early stages from a technical perspective. Its impact on the marketing industry is therefore worthy to take attention. This paper's analysis includes both qualitative and quantitative aspects. The macro-market analysis using the PEST framework indicates that the development environment is complex. Consumer-side surveys show that consumers' open attitudes are driving choices made by marketing agency clients. Ultimately, conclusions are drawn regarding the extent of the impact of generative AI products on marketers.","Generative AI is significantly impacting marketing agencies, driving changes in campaign strategies and consumer perceptions."
